url,title,score,posterImagePath,certification,overview,tagline,genres,trailerUrl,language
https://www.themoviedb.org/tv/12637,"Rebelde
(2004)",85.0,poster_final/12637.jpg,,"The series is set at the Elite Way School, a prestigious private boarding high school in Mexico City with a major plot line revolving around a group of students forming a pop band. Additional subplots involve the school's faculty and the students' parents. One trademark of the show is the random use of English words and phrases, often used by fresa characters.",,"Phim Hài, Soap, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/1668,"Friends
(1994)",83.0,poster_final/1668.jpg,TV-14,"The misadventures of a group of friends as they navigate the pitfalls of work, life and love in Manhattan.",I'll be there for you,"Phim Hài, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/46952,"Danh Sách Đen
(2013)",74.0,poster_final/46952.jpg,TV-14,"Cựu đặc vụ của chính phủ Raymond ""Red"" Reddington (do James Spader thủ vai) là mục tiêu truy nã hàng đầu của FBI trong cả thập kỷ đột ngột tới FBI tự nguyện đầu thú, đề nghị hỗ trợ bắt tên khủng bố tưởng đã chết từ lâu - Ranko Zamani, với điều kiện chỉ nói chuyện với duy nhất Elizabeth “Liz” Keen - một hồ sơ viên mới của FBI. Chuyện bắt đầu từ đó...",Family. Business.,"Phim Chính Kịch, Phim Hình Sự, Phim Bí Ẩn",,vi
https://www.themoviedb.org/tv/44006,"Chicago Fire
(2012)",83.0,poster_final/44006.jpg,TV-14,"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.",Feel the heat.,Phim Chính Kịch,,en
https://www.themoviedb.org/tv/114404,"BREAK IT ALL: The History of Rock in Latin America
(2020)",75.0,poster_final/114404.jpg,TV-14,"Soda Stereo, Café Tacvba, Aterciopelados and others figure in this 50-year history of Latin American rock through dictatorships, disasters and dissent.",,Phim Tài Liệu,,en
https://www.themoviedb.org/tv/1408,"House
(2004)",86.0,poster_final/1408.jpg,TV-14,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",Genius has side effects.,"Phim Chính Kịch, Phim Hài, Phim Bí Ẩn",,en
https://www.themoviedb.org/tv/12971,"Bảy Viên Ngọc Rồng
(1989)",81.0,poster_final/12971.jpg,TV-PG,"Five years have passed since the fight with Piccolo Jr., and Goku now has a son, Gohan. The peace is interrupted when an alien named Raditz arrives on Earth in a spacecraft and tracks down Goku, revealing to him that that they are members of a near-extinct warrior race called the Saiyans.",,"Sci-Fi & Fantasy, Phim Hoạt Hình, Phim Hài, Action & Adventure",,en
https://www.themoviedb.org/tv/1911,"Bones
(2005)",82.0,poster_final/1911.jpg,TV-14,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.",Every body has secrets.,"Phim Hình Sự, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/89641,"Cảnh Báo Tình Yêu - Love Alarm
(2019)",85.0,poster_final/89641.jpg,12,Mối tình tay ba giữa một cô gái chăm chỉ và hai chàng trai thích cô ấy thật phức tạp khi phát hành một ứng dụng điện thoại thông báo cho bạn mỗi khi một người thích bạn ở trong vòng 10 mét.,"When you turn on the application, your heart will ring","Phim Chính Kịch, Sci-Fi & Fantasy",,vi
https://www.themoviedb.org/tv/2224,"The Daily Show with Trevor Noah
(1996)",64.0,poster_final/2224.jpg,TV-14,"Trevor Noah and The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.",When news breaks we fix it.,"News, Phim Hài",,en
https://www.themoviedb.org/tv/80748,"FBI
(2018)",78.0,poster_final/80748.jpg,TV-14,"The New York office of the FBI brings to bear all their talents, intellect and technical expertise on major cases in order to keep their city and the country safe.",,"Phim Hình Sự, Phim Chính Kịch, Action & Adventure",,en
